Darkness A|暗闇A
Brown Wood Floor A|茶色木の床A
Brown Wood Floor B|茶色木の床B
Brown Wood Floor C|茶色木の床C
Gray Wood Floor A|灰色木の床A
Gray Wood Floor B|灰色木の床B
Gray Wood Floor C|灰色木の床C
Broken Brown Wood Floor|壊れた茶色木の床
Transparent|透明
Shady Brown Wood Floor A|陰になった茶色木の床A
Shady Brown Wood Floor B|陰になった茶色木の床B
Shady Brown Wood Floor C|陰になった茶色木の床C
Shady Gray Wood Floor A|陰になった灰色木の床A
Shady Gray Wood Floor B|陰になった灰色木の床B
Shady Gray Wood Floor C|陰になった灰色木の床C
Broken Gray Wood Floor|壊れた灰色木の床
Floor (White)|床（白）
Floor (Beige)|床（ベージュ）
Floor (Brown)|床（茶色）
Floor (Blue)|床（青）
Floor (Green)|床（緑色）
Floor (Red)|床（赤）
Floor (Violet)|床（紫）
Floor (Charcoal)|床（暗灰色）
Black Line Floor (White)|黒線床（白）
Black Line Floor (Beige)|黒線床（ベージュ）
Black Line Floor (Brown)|黒線床（茶色）
Black Line Floor (Blue)|黒線床（青）
Black Line Floor (Green)|黒線床（緑色）
Black Line Floor (Red)|黒線床（赤）
Black Line Floor (Violet)|黒線床（紫）
Black Line Floor (Charcoal)|黒線床（暗灰色）
Cracked Floor (White)|ひび割れた床（白）
Cracked Floor (Beige)|ひび割れた床（ベージュ）
Cracked Floor (Brown)|ひび割れた床（茶色）
Cracked Floor (Blue)|ひび割れた床（青）
Cracked Floor (Green)|ひび割れた床（緑色）
Cracked Floor (Red)|ひび割れた床（赤）
Cracked Floor (Violet)|ひび割れた床（紫）
Cracked Floor (Charcoal)|ひび割れた床（暗灰色）
4 Part Floor (White)|4分割床（白）
4 Part Floor (Beige)|4分割床（ベージュ）
4 Part Floor (Brown)|4分割床（茶色）
4 Part Floor (Blue)|4分割床（青）
4 Part Floor (Green)|4分割床（緑色）
4 Part Floor (Red)|4分割床（赤）
4 Part Floor (Violet)|4分割床（紫）
4 Part Floor (Charcoal)|4分割床（暗灰色）
Dark Gray Line Floor (White)|ダークグレー線床（白）
Dark Gray Line Floor (Beige)|ダークグレー線床（ベージュ）
Dark Gray Line Floor (Brown)ダークグレー線床（茶色）
Dark Gray Line Floor (Blue)|ダークグレー線床（青）
Dark Gray Line Floor (Green)|ダークグレー線床（緑色）
Dark Gray Line Floor (Red)|ダークグレー線床（赤）
Dark Gray Line Floor (Violet)|ダークグレー線床（紫）
Dark Gray Line Floor (Charcoal)|ダークグレー線床（暗灰色）
Cracked 4 Part Floor (White)|ひび割れた4分割床（白）
Cracked 4 Part Floor (Beige)|ひび割れた4分割床（ベージュ）
Cracked 4 Part Floor (Brown)|ひび割れた4分割床（茶色）
Cracked 4 Part Floor (Blue)|ひび割れた4分割床（青）
Cracked 4 Part Floor (Green)|ひび割れた4分割床（緑色）
Cracked 4 Part Floor (Red)|ひび割れた4分割床（赤）
Cracked 4 Part Floor (Violet)|ひび割れた4分割床（紫）
